stop_id,stop_name,stop_lat,stop_lon
200699,HYLAN BL/ALLENDALE RD,40.598669,-74.079891
200700,HYLAN BL/CLOVE RD,40.598544,-74.081825
200708,NARROWS RD N/RICHMOND RD,40.609731,-74.090733
200710,CLOVE RD/HOWARD AV,40.612715,-74.099516
200713,CLOVE RD/VICTORY BL,40.616595,-74.103516
200714,CLOVE RD/BEVERLY AV,40.617898,-74.104703
200715,CLOVE RD/CLOVE LAKE PARK,40.619515,-74.107501
200716,CLOVE RD/BEMENT AV,40.620945,-74.110313
200754,JERSEY ST/HENDRICKS AV,40.640140,-74.087075
200755,JERSEY ST/LAYTON AV,40.641461,-74.086706
200756,JERSEY ST/CRESCENT AV,40.642399,-74.086498
200757,WESTERVELT AV/CRESCENT AV,40.643730,-74.084305
200758,WESTERVELT AV/HAMILTON AV,40.645710,-74.085746
200761,HAMILTON AV/ST MARKS PL,40.644717,-74.080703
200762,ST MARKS PL/WALL ST,40.643192,-74.079137
200763,ST MARKS PL/FORT PL,40.642337,-74.078441
200764,HYATT ST/CENTRAL AV,40.641819,-74.077132
200765,SLOSSON TER/BAY ST,40.639550,-74.075825
200779,SLOSSON TER/BAY ST,40.639632,-74.076139
200780,CENTRAL AV/HYATT ST,40.641841,-74.076941
200781,ST MARKS PL/HYATT ST,40.641955,-74.078008
200782,ST MARKS PL/WALL ST,40.643684,-74.079329
200783,ST MARKS PL/HAMILTON AV,40.645091,-74.080433
200784,ST MARKS PL/NICHOLAS ST,40.646191,-74.081804
200785,WESTERVELT AV/ST MARKS PL,40.646393,-74.086550
200786,WESTERVELT AV/CLEVELAND ST,40.644665,-74.085164
200787,CRESCENT AV/WESTERVELT AV,40.643348,-74.084503
200791,JERSEY ST/BRIGHTON AV,40.638150,-74.087552
200820,MORNINGSTAR RD/FOREST  AV,40.625170,-74.148666
200821,MORNINGSTAR RD/BOWLES AV,40.627754,-74.147989
200822,MORNINGSTAR RD/ST ADALBERT PL,40.629621,-74.147384
200823,MORNINGSTAR RD/WALKER ST,40.631030,-74.146901
200836,POST AV/DECKER AV,40.632123,-74.132938
200837,POST AV/JEWETT AV,40.630954,-74.130779
200838,POST AV/GREENLEAF AV,40.631096,-74.127731
200839,POST AV/CLOVE RD,40.631602,-74.125066
200840,CARY AV/TAYLOR ST,40.631887,-74.122937
200841,CARY AV/ELIZABETH ST,40.632175,-74.120506
200842,CARY AV/CAROLINE ST,40.632327,-74.119245
200843,CARY AV/BROADWAY,40.632640,-74.116408
200844,CARY AV/N BURGHER AV,40.632845,-74.114379
200845,CARY AV/BEMENT AV,40.633185,-74.112034
200846,BEMENT AV/CASTLETON AV,40.634629,-74.112130
200847,BEMENT AV/HENDERSON AV,40.637398,-74.112700
200848,HENDERSON AV/PELTON AV,40.637660,-74.111097
200850,HENDERSON AV/BARD AV,40.638274,-74.107736
200853,HENDERSON AV/DEVON PL,40.639683,-74.101642
200855,HENDERSON AV/LAFAYETTE AV,40.640650,-74.095176
200856,LAFAYETTE AV/CASSIDY PL,40.641737,-74.094983
200857,LAFAYETTE AV/FILLMORE ST,40.643139,-74.095410
200858,LAFAYETTE AV/RICHMOND TER,40.644459,-74.095794
200878,LAFAYETTE AV/RICHMOND TER,40.644492,-74.095956
200879,LAFAYETTE AV/FILLMORE ST,40.643507,-74.095670
200880,LAFAYETTE AV/CASSIDY PL,40.642305,-74.095308
